Name,Team,Number,Position,Age,Salary
Avery Bradley,Boston Celtics,0,PG,25,7730337
Jae Crowder,Boston Celtics,99,SF,25,6796117
John Holland,Boston Celtics,30,SG,27,
R.J. Hunter,Boston Celtics,28,SG,22,1148640
Jonas Jerebko,Boston Celtics,8,,29,5000000
Amir Johnson,Boston Celtics,90,PF,29,12000000
Jordan Mickey,,55,PF,21,1170960
Kelly Olynyk,Boston Celtics,,C,25,2165160
Terry Rozier,Boston Celtics,12,PG,22,1824360
Marcus Smart,Boston Celtics,36,PG,22,3431040
Jared Sullinger,Boston Celtics,7,C,24,2569260
Isaiah Thomas,Boston Celtics,4,PG,,6912869
Evan Turner,Boston Celtics,11,SG,27,3425510
James Young,Boston Celtics,13,SG,20,1749840
Tyler Zeller,,44,C,26,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,3425510
Markel Brown,Brooklyn Nets,22,SG,24,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,1335480
Jarrett Jack,Brooklyn Nets,,PG,32,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,,134215
Shane Larkin,Brooklyn Nets,0,PG,23,1500000
Brook Lopez,,11,C,28,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,1140240
Willie Reed,Brooklyn Nets,33,PF,26,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,981348
Henry Sims,Brooklyn Nets,14,C,26,947276
Donald Sloan,Brooklyn Nets,15,PG,28,947276
Thaddeus Young,Brooklyn Nets,30,,27,11235955
Arron Afflalo,New York Knicks,4,SG,30,8000000
Lou Amundson,New York Knicks,17,PF,33,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,30888
Carmelo Anthony,New York Knicks,7,SF,32,22875000
Jose Calderon,New York Knicks,3,PG,34,7402812
Cleanthony Early,New York Knicks,11,SF,25,845059
Langston Galloway,New York Knicks,2,SG,24,845059
Jerian Grant,New York Knicks,13,PG,23,1572360
Robin Lopez,New York Knicks,8,C,28,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,4131720
Kevin Seraphin,New York Knicks,1,C,26,2814000
Lance Thomas,New York Knicks,42,SF,28,1636842
Sasha Vujacic,New York Knicks,18,SG,32,947276
Derrick Williams,New York Knicks,23,PF,25,4000000
Tony Wroten,New York Knicks,5,SG,23,167406
Elton Brand,Philadelphia 76ers,42,PF,37,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,947276
Robert Covington,Philadelphia 76ers,33,SF,25,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,947276
Christian Wood,Philadelphia 76ers,35,PF,20,525093
Bismack Biyombo,Toronto Raptors,8,C,23,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,13600000
DeMar DeRozan,Toronto Raptors,10,SG,26,10050000
James Johnson,Toronto Raptors,3,PF,29,2500000
Cory Joseph,Toronto Raptors,6,PG,24,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,6268675
Norman Powell,Toronto Raptors,24,SG,23,650000
Terrence Ross,Toronto Raptors,31,SF,25,3553917
Luis Scola,Toronto Raptors,4,PF,36,2900000
Jason Thompson,Toronto Raptors,1,PF,29,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,4660482
Delon Wright,Toronto Raptors,55,PG,24,1509360
Leandro Barbosa,Golden State Warriors,19,SG,33,2500000
Harrison Barnes,Golden State Warriors,40,SF,24,3873398
Andrew Bogut,Golden State Warriors,12,C,31,13800000
Ian Clark,Golden State Warriors,21,SG,25,947276
Stephen Curry,Golden State Warriors,30,PG,28,11370786
Festus Ezeli,Golden State Warriors,31,C,26,2008748
Draymond Green,Golden State Warriors,23,PF,26,14260870
Andre Iguodala,Golden State Warriors,9,SF,32,11710456
Shaun Livingston,Golden State Warriors,34,PG,30,5543725
Kevon Looney,Golden State Warriors,36,SF,20,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,845059
Brandon Rush,Golden State Warriors,4,SF,30,1270964
Marreese Speights,Golden State Warriors,5,C,28,3815000
Klay Thompson,Golden State Warriors,11,SG,26,15501000
Anderson Varejao,Golden State Warriors,18,PF,33,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,29,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,5675000
Branden Dawson,Los Angeles Clippers,22,SF,23,525093
Jeff Green,Los Angeles Clippers,8,SF,29,9650000
Blake Griffin,Los Angeles Clippers,32,PF,27,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,28,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,947276
Chris Paul,Los Angeles Clippers,3,PG,31,21468695
Paul Pierce,Los Angeles Clippers,34,SF,38,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,39,947726
JJ Redick,Los Angeles Clippers,4,SG,31,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,25,1159680
Brandon Bass,Los Angeles Lakers,2,PF,31,3000000
Tarik Black,Los Angeles Lakers,28,C,24,845059
Anthony Brown,Los Angeles Lakers,3,SF,23,700000
Kobe Bryant,Los Angeles Lakers,24,SF,37,25000000
Jordan Clarkson,Los Angeles Lakers,6,PG,24,845059
Roy Hibbert,Los Angeles Lakers,17,C,29,15592217
Marcelo Huertas,Los Angeles Lakers,9,PG,33,525093
Ryan Kelly,Los Angeles Lakers,4,PF,25,1724250
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,1155600
Julius Randle,Los Angeles Lakers,30,PF,21,3132240
D'Angelo Russell,Los Angeles Lakers,1,PG,20,5103120
Robert Sacre,Los Angeles Lakers,50,C,27,981348
Louis Williams,Los Angeles Lakers,23,SG,29,7000000
Metta World Peace,Los Angeles Lakers,37,SF,36,947276
Nick Young,Los Angeles Lakers,0,SF,31,5219169
Eric Bledsoe,Phoenix Suns,2,PG,26,13500000
Devin Booker,Phoenix Suns,1,SG,19,2127840
Chase Budinger,Phoenix Suns,10,SF,28,206192
Tyson Chandler,Phoenix Suns,4,C,33,13000000
Archie Goodwin,Phoenix Suns,20,SG,21,1160160
John Jenkins,Phoenix Suns,23,SG,25,981348
Brandon Knight,Phoenix Suns,3,PG,24,13500000
Alex Len,Phoenix Suns,21,C,22,3807120
Jon Leuer,Phoenix Suns,30,PF,27,1035000
Phil Pressey,Phoenix Suns,25,PG,25,55722
Ronnie Price,Phoenix Suns,14,PG,32,947276
Mirza Teletovic,Phoenix Suns,35,PF,30,5500000
P.J. Tucker,Phoenix Suns,17,SF,31,5500000
T.J. Warren,Phoenix Suns,12,SF,22,2041080
Alan Williams,Phoenix Suns,15,C,23,83397
Quincy Acy,Sacramento Kings,13,SF,25,981348
James Anderson,Sacramento Kings,5,SG,27,1015421
Marco Belinelli,Sacramento Kings,3,SG,30,6060606
Caron Butler,Sacramento Kings,31,SF,36,1449187
Omri Casspi,Sacramento Kings,18,SF,27,2836186
Willie Cauley-Stein,Sacramento Kings,0,C,22,3398280
Darren Collison,Sacramento Kings,7,PG,28,5013559
DeMarcus Cousins,Sacramento Kings,15,C,25,15851950
Seth Curry,Sacramento Kings,30,SG,25,947276
Duje Dukan,Sacramento Kings,26,PF,24,525093
Rudy Gay,Sacramento Kings,8,SF,29,12403101
Kosta Koufos,Sacramento Kings,41,C,27,7700000
Ben McLemore,Sacramento Kings,23,SG,23,3156600
Eric Moreland,Sacramento Kings,25,PF,24,845059
Rajon Rondo,Sacramento Kings,9,PG,30,9500000
Cameron Bairstow,Chicago Bulls,41,PF,25,845059
Aaron Brooks,Chicago Bulls,0,PG,31,2250000
Jimmy Butler,Chicago Bulls,21,SG,26,16407500
Mike Dunleavy,Chicago Bulls,34,SG,35,4500000
Cristiano Felicio,Chicago Bulls,6,PF,23,525093
Pau Gasol,Chicago Bulls,16,C,35,7448760
Taj Gibson,Chicago Bulls,22,PF,30,8500000
Justin Holiday,Chicago Bulls,7,SG,27,947276
Doug McDermott,Chicago Bulls,3,SF,24,2380440
Nikola Mirotic,Chicago Bulls,44,PF,25,5543725
E'Twaun Moore,Chicago Bulls,55,SG,27,1015421
Joakim Noah,Chicago Bulls,13,C,31,13400000
Bobby Portis,Chicago Bulls,5,PF,21,1391160
Derrick Rose,Chicago Bulls,1,PG,27,20093064
Tony Snell,Chicago Bulls,20,SF,24,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,1147276
Channing Frye,Cleveland Cavaliers,9,PF,33,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,24,16407501
LeBron James,Cleveland Cavaliers,23,SF,31,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,35,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,
James Jones,Cleveland Cavaliers,1,SG,35,947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,1276000
Kevin Love,Cleveland Cavaliers,0,PF,27,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,25,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,25,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,30,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,25,14260870
Mo Williams,Cleveland Cavaliers,52,PG,33,2100000
Joel Anthony,Detroit Pistons,50,C,33,2500000
Aron Baynes,Detroit Pistons,12,C,29,6500000
Steve Blake,Detroit Pistons,22,PG,36,2170465
Lorenzo Brown,Detroit Pistons,17,PG,25,111444
Reggie Bullock,Detroit Pistons,25,SF,25,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,23,845059
Andre Drummond,Detroit Pistons,0,C,22,3272091
Tobias Harris,Detroit Pistons,34,SF,23,16000000
Darrun Hilliard,Detroit Pistons,6,SF,23,600000
Reggie Jackson,Detroit Pistons,1,PG,26,13913044
Stanley Johnson,Detroit Pistons,3,SF,20,2841960
Jodie Meeks,Detroit Pistons,20,SG,28,6270000
Marcus Morris,Detroit Pistons,13,PF,26,5000000
Anthony Tolliver,Detroit Pistons,43,PF,31,3000000
Lavoy Allen,Indiana Pacers,5,PF,27,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,1007026
Monta Ellis,Indiana Pacers,11,SG,30,10300000
Paul George,Indiana Pacers,13,SF,26,17120106
George Hill,Indiana Pacers,3,PG,30,8000000
Jordan Hill,Indiana Pacers,27,C,28,4000000
Solomon Hill,Indiana Pacers,44,SF,25,1358880
Ty Lawson,Indiana Pacers,10,PG,28,211744
Ian Mahinmi,Indiana Pacers,28,C,29,4000000
C.J. Miles,Indiana Pacers,0,SF,29,4394225
Glenn Robinson III,Indiana Pacers,40,SG,22,1100000
Rodney Stuckey,Indiana Pacers,2,PG,30,7000000
Myles Turner,Indiana Pacers,33,PF,20,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,845059
Joe Young,Indiana Pacers,1,PG,23,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,27,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,25,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,1662360
John Henson,Milwaukee Bucks,31,PF,25,2943221
Damien Inglis,Milwaukee Bucks,17,SF,21,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,8000000
Khris Middleton,Milwaukee Bucks,22,SG,24,14700000
Greg Monroe,Milwaukee Bucks,15,C,26,16407500
Steve Novak,Milwaukee Bucks,6,SF,32,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,5152440
Miles Plumlee,Milwaukee Bucks,18,C,27,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,29,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,1449000
J.J. Barea,Dallas Mavericks,5,PG,31,4290000
Jeremy Evans,Dallas Mavericks,21,SF,28,1100602
Raymond Felton,Dallas Mavericks,2,PG,31,3950313
Devin Harris,Dallas Mavericks,34,PG,33,4053446
David Lee,Dallas Mavericks,42,PF,33,2085671
Wesley Matthews,Dallas Mavericks,23,SG,29,16407500
JaVale McGee,Dallas Mavericks,11,C,28,1270964
Salah Mejri,Dallas Mavericks,50,C,29,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,37,8333334
Zaza Pachulia,Dallas Mavericks,27,C,32,5200000
Chandler Parsons,Dallas Mavericks,25,SF,27,15361500
Dwight Powell,Dallas Mavericks,7,PF,24,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,947276
Deron Williams,Dallas Mavericks,8,PG,31,5378974
Trevor Ariza,Houston Rockets,1,SF,30,8193030
Michael Beasley,Houston Rockets,8,SF,27,306527
Patrick Beverley,Houston Rockets,2,PG,27,6486486
Corey Brewer,Houston Rockets,33,SG,30,8229375
Clint Capela,Houston Rockets,15,PF,22,1242720
Sam Dekker,Houston Rockets,7,SF,22,1646400
Andrew Goudelock,Houston Rockets,0,PG,27,200600
James Harden,Houston Rockets,13,SG,26,15756438
Montrezl Harrell,Houston Rockets,35,PF,22,1000000
Dwight Howard,Houston Rockets,12,C,30,22359364
Terrence Jones,Houston Rockets,6,PF,24,2489530
K.J. McDaniels,Houston Rockets,32,SG,23,3189794
Donatas Motiejunas,Houston Rockets,20,PF,25,2288205
Josh Smith,Houston Rockets,5,C,30,947276
Jason Terry,Houston Rockets,31,SG,38,947276
Jordan Adams,Memphis Grizzlies,3,SG,21,1404600
Tony Allen,Memphis Grizzlies,9,SG,34,5158539
Chris Andersen,Memphis Grizzlies,7,PF,37,5000000
Matt Barnes,Memphis Grizzlies,22,SF,36,3542500
Vince Carter,Memphis Grizzlies,15,SG,39,4088019
Mike Conley,Memphis Grizzlies,11,PG,28,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,23,700902
Jordan Farmar,Memphis Grizzlies,4,PG,29,
Marc Gasol,Memphis Grizzlies,33,C,31,19688000
JaMychal Green,Memphis Grizzlies,0,PF,25,845059
P.J. Hairston,Memphis Grizzlies,19,SF,23,1201440
Jarell Martin,Memphis Grizzlies,10,PF,22,1230840
Ray McCallum,Memphis Grizzlies,5,PG,24,
Xavier Munford,Memphis Grizzlies,14,PG,24,
Zach Randolph,Memphis Grizzlies,50,PF,34,9638555
Lance Stephenson,Memphis Grizzlies,1,SF,25,9000000
Alex Stepheson,Memphis Grizzlies,35,PF,28,
Brandan Wright,Memphis Grizzlies,34,PF,28,5464000
Alexis Ajinca,New Orleans Pelicans,42,C,28,4389607
Ryan Anderson,New Orleans Pelicans,33,PF,28,8500000
Omer Asik,New Orleans Pelicans,3,C,29,9213483
Luke Babbitt,New Orleans Pelicans,8,SF,26,1100602
Norris Cole,New Orleans Pelicans,30,PG,27,3036927
Dante Cunningham,New Orleans Pelicans,44,PF,29,2850000
Anthony Davis,New Orleans Pelicans,23,PF,23,7070730
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,169883
Toney Douglas,New Orleans Pelicans,16,PG,30,1164858
James Ennis,New Orleans Pelicans,4,SF,25,845059
Tyreke Evans,New Orleans Pelicans,1,SG,26,10734586
Tim Frazier,New Orleans Pelicans,2,PG,25,845059
Alonzo Gee,New Orleans Pelicans,15,SF,29,1320000
Eric Gordon,New Orleans Pelicans,10,SG,27,15514031
Jordan Hamilton,New Orleans Pelicans,25,SG,25,1015421
Jrue Holiday,New Orleans Pelicans,11,PG,25,10595507
Orlando Johnson,New Orleans Pelicans,0,SG,27,55722
Kendrick Perkins,New Orleans Pelicans,5,C,31,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,28,3382023
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,19689000
Kyle Anderson,San Antonio Spurs,1,SF,22,1142880
Matt Bonner,San Antonio Spurs,15,C,36,947276
Boris Diaw,San Antonio Spurs,33,C,34,7500000
Tim Duncan,San Antonio Spurs,21,C,40,5250000
Manu Ginobili,San Antonio Spurs,20,SG,38,2814000
Danny Green,San Antonio Spurs,14,SG,28,10000000
Kawhi Leonard,San Antonio Spurs,2,SF,24,16407500
Boban Marjanovic,San Antonio Spurs,40,C,27,1200000
Kevin Martin,San Antonio Spurs,23,SG,33,200600
Andre Miller,San Antonio Spurs,24,PG,40,250750
Patty Mills,San Antonio Spurs,8,PG,27,3578947
Tony Parker,San Antonio Spurs,9,PG,34,13437500
Jonathon Simmons,San Antonio Spurs,17,SG,26,525093
David West,San Antonio Spurs,30,PF,35,1499187
Kent Bazemore,Atlanta Hawks,24,SF,26,2000000
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,1304520
Kirk Hinrich,Atlanta Hawks,12,SG,35,2854940
Al Horford,Atlanta Hawks,15,C,30,12000000
Kris Humphries,Atlanta Hawks,43,PF,31,1000000
Kyle Korver,Atlanta Hawks,26,SG,35,5746479
Paul Millsap,Atlanta Hawks,4,PF,31,18671659
Mike Muscala,Atlanta Hawks,31,PF,24,947276
Lamar Patterson,Atlanta Hawks,13,SG,24,525093
Dennis Schroder,Atlanta Hawks,17,PG,22,1763400
Mike Scott,Atlanta Hawks,32,PF,27,3333333
Thabo Sefolosha,Atlanta Hawks,25,SF,32,4000000
Tiago Splitter,Atlanta Hawks,11,C,31,9756250
Walter Tavares,Atlanta Hawks,22,C,24,1000000
Jeff Teague,Atlanta Hawks,0,PG,27,8000000
Nicolas Batum,Charlotte Hornets,5,SG,27,13125306
Troy Daniels,Charlotte Hornets,30,SG,24,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,27,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,30,947276
Aaron Harrison,Charlotte Hornets,9,SG,21,525093
Spencer Hawes,Charlotte Hornets,0,PF,28,6110034
Al Jefferson,Charlotte Hornets,25,C,31,13500000
Frank Kaminsky III,Charlotte Hornets,44,C,23,2612520
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,6331404
Jeremy Lamb,Charlotte Hornets,3,SG,24,3034356
Courtney Lee,Charlotte Hornets,1,SG,30,5675000
Jeremy Lin,Charlotte Hornets,7,PG,27,2139000
Kemba Walker,Charlotte Hornets,15,PG,26,12000000
Marvin Williams,Charlotte Hornets,2,PF,29,7000000
Cody Zeller,Charlotte Hornets,40,C,23,4204200
Chris Bosh,Miami Heat,1,PF,32,22192730
Luol Deng,Miami Heat,9,SF,31,10151612
Goran Dragic,Miami Heat,7,PG,30,14783000
Gerald Green,Miami Heat,14,SF,30,947276
Udonis Haslem,Miami Heat,40,PF,36,2854940
Joe Johnson,Miami Heat,2,SF,34,261894
Tyler Johnson,Miami Heat,8,SG,24,845059
Josh McRoberts,Miami Heat,4,PF,29,5543725
Josh Richardson,Miami Heat,0,SG,22,525093
Amar'e Stoudemire,Miami Heat,5,PF,33,947276
Dwyane Wade,Miami Heat,3,SG,34,20000000
Briante Weber,Miami Heat,12,PG,23,
Hassan Whiteside,Miami Heat,21,C,26,981348
Justise Winslow,Miami Heat,20,SF,20,2481720
Dorell Wright,Miami Heat,11,SF,30,
Dewayne Dedmon,Orlando Magic,3,C,26,947276
Evan Fournier,Orlando Magic,10,SG,23,2288205
Aaron Gordon,Orlando Magic,0,PF,20,4171680
Mario Hezonja,Orlando Magic,23,SG,21,3741480
Ersan Ilyasova,Orlando Magic,7,PF,29,7900000
Brandon Jennings,Orlando Magic,55,PG,26,8344497
Devyn Marble,Orlando Magic,11,SF,23,845059
Shabazz Napier,Orlando Magic,13,PG,24,1294440
Andrew Nicholson,Orlando Magic,44,PF,26,2380593
Victor Oladipo,Orlando Magic,5,SG,24,5192520
Elfrid Payton,Orlando Magic,4,PG,22,2505720
Jason Smith,Orlando Magic,14,PF,30,4300000
Nikola Vucevic,Orlando Magic,9,C,25,11250000
C.J. Watson,Orlando Magic,32,PG,32,5000000
Alan Anderson,Washington Wizards,6,SG,33,4000000
Bradley Beal,Washington Wizards,3,SG,22,5694674
Jared Dudley,Washington Wizards,1,SF,30,4375000
Jarell Eddie,Washington Wizards,8,SG,24,561716
Drew Gooden,Washington Wizards,90,PF,34,3300000
Marcin Gortat,Washington Wizards,13,C,32,11217391
JJ Hickson,Washington Wizards,21,C,27,273038
Nene Hilario,Washington Wizards,42,C,33,13000000
Markieff Morris,Washington Wizards,5,PF,26,8000000
Kelly Oubre Jr.,Washington Wizards,12,SF,20,1920240
Otto Porter Jr.,Washington Wizards,22,SF,23,4662960
Ramon Sessions,Washington Wizards,7,PG,30,2170465
Garrett Temple,Washington Wizards,17,SG,30,1100602
Marcus Thornton,Washington Wizards,15,SF,29,200600
John Wall,Washington Wizards,2,PG,25,15851950
Darrell Arthur,Denver Nuggets,0,PF,28,2814000
D.J. Augustin,Denver Nuggets,12,PG,28,3000000
Will Barton,Denver Nuggets,5,SF,25,3533333
Wilson Chandler,Denver Nuggets,21,SF,29,10449438
Kenneth Faried,Denver Nuggets,35,PF,26,11235955
Danilo Gallinari,Denver Nuggets,8,SF,27,14000000
Gary Harris,Denver Nuggets,14,SG,21,1584480
Nikola Jokic,Denver Nuggets,15,C,21,1300000
Joffrey Lauvergne,Denver Nuggets,77,C,24,1709719
Mike Miller,Denver Nuggets,3,SG,36,947276
Emmanuel Mudiay,Denver Nuggets,0,PG,20,3102240
Jameer Nelson,Denver Nuggets,1,PG,34,4345000
Jusuf Nurkic,Denver Nuggets,23,C,21,1842000
JaKarr Sampson,Denver Nuggets,9,SG,23,258489
Axel Toupane,Denver Nuggets,6,SG,23,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,3950001
Gorgui Dieng,Minnesota Timberwolves,5,C,26,1474440
Kevin Garnett,Minnesota Timberwolves,21,PF,40,8500000
Tyus Jones,Minnesota Timberwolves,1,PG,20,1282080
Zach LaVine,Minnesota Timberwolves,8,PG,21,2148360
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,2056920
Adreian Payne,Minnesota Timberwolves,33,PF,25,1938840
Nikola Pekovic,Minnesota Timberwolves,14,C,30,12100000
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,947276
Ricky Rubio,Minnesota Timberwolves,9,PG,25,12700000
Damjan Rudez,Minnesota Timberwolves,10,SF,29,1149500
Greg Smith,Minnesota Timberwolves,4,PF,25,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,5703600
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,5758680
Steven Adams,Oklahoma City Thunder,12,C,22,2279040
Nick Collison,Oklahoma City Thunder,4,PF,35,3750000
Kevin Durant,Oklahoma City Thunder,35,SF,27,20158622
Randy Foye,Oklahoma City Thunder,6,SG,32,3135000
Josh Huestis,Oklahoma City Thunder,34,SF,24,1140240
Serge Ibaka,Oklahoma City Thunder,9,PF,26,12250000
Enes Kanter,Oklahoma City Thunder,11,C,24,16407500
Mitch McGary,Oklahoma City Thunder,33,PF,24,1463040
Nazr Mohammed,Oklahoma City Thunder,13,C,38,222888
Anthony Morrow,Oklahoma City Thunder,2,SG,30,3344000
Cameron Payne,Oklahoma City Thunder,22,PG,21,2021520
Andre Roberson,Oklahoma City Thunder,21,SG,24,1210800
Kyle Singler,Oklahoma City Thunder,5,SF,28,4500000
Dion Waiters,Oklahoma City Thunder,3,SG,24,5138430
Russell Westbrook,Oklahoma City Thunder,0,PG,27,16744218
Cliff Alexander,Portland Trail Blazers,34,PF,20,525093
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,8042895
Pat Connaughton,Portland Trail Blazers,5,SG,23,625093
Allen Crabbe,Portland Trail Blazers,23,SG,24,947276
Ed Davis,Portland Trail Blazers,17,C,27,6980802
Maurice Harkless,Portland Trail Blazers,4,SF,23,2894059
Gerald Henderson,Portland Trail Blazers,9,SG,28,6000000
Chris Kaman,Portland Trail Blazers,35,C,34,5016000
Meyers Leonard,Portland Trail Blazers,11,PF,24,3075880
Damian Lillard,Portland Trail Blazers,0,PG,25,4236287
C.J. McCollum,Portland Trail Blazers,3,SG,24,2525160
Luis Montero,Portland Trail Blazers,44,SG,23,525093
Mason Plumlee,Portland Trail Blazers,24,C,26,1415520
Brian Roberts,Portland Trail Blazers,2,PG,30,2854940
Noah Vonleh,Portland Trail Blazers,21,PF,20,2637720
Trevor Booker,Utah Jazz,33,PF,28,4775000
Trey Burke,Utah Jazz,3,PG,23,2658240
Alec Burks,Utah Jazz,10,SG,24,9463484
Dante Exum,Utah Jazz,11,PG,20,3777720
Derrick Favors,Utah Jazz,15,PF,24,12000000
Rudy Gobert,Utah Jazz,27,C,23,1175880
Gordon Hayward,Utah Jazz,20,SF,26,15409570
Rodney Hood,Utah Jazz,5,SG,23,1348440
Joe Ingles,Utah Jazz,2,SF,28,2050000
Chris Johnson,Utah Jazz,23,SF,26,981348
Trey Lyles,Utah Jazz,41,PF,20,2239800
Shelvin Mack,Utah Jazz,8,PG,26,2433333
Raul Neto,Utah Jazz,25,PG,24,900000
Tibor Pleiss,Utah Jazz,21,C,26,2900000
Jeff Withey,Utah Jazz,24,C,26,947276
